Rk,Player,Tm,Age,Pos,G,GS,Rec,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
1,Al Toon*,NYJ,25,WR,15,15,93,1067,11.5,5,42,,6.2,71.1,2,ToonAl00
2,Mark Clayton*,MIA,27,WR,16,16,86,1129,13.1,14,45,,5.4,70.6,0,ClayMa00
3,Henry Ellard*+,RAM,27,WR,16,15,86,1414,16.4,10,68,,5.4,88.4,3,EllaHe00
4,Eric Martin*,NOR,27,WR,16,16,85,1083,12.7,7,40,,5.3,67.7,2,MartEr00
5,J.T. Smith*,PHO,33,WR,16,16,83,986,11.9,5,29,,5.2,61.6,4,SmitJT00
6,Keith Jackson*+,PHI,23,TE,16,15,81,869,10.7,6,41,,5.1,54.3,3,JackKe00
7,Roger Craig*+,SFO,28,RB,16,15,76,534,7,1,22,,4.8,33.4,8,CraiRo00
8,Ricky Sanders,WAS,28,WR,16,4,73,1148,15.7,12,55,,4.6,71.8,0,SandRi00
9,Keith Byars,PHI,25,RB,16,16,72,705,9.8,4,37,,4.5,44.1,5,ByarKe00
10,Anthony Carter*,MIN,28,WR,16,16,72,1225,17,6,67,,4.5,76.6,1,CartAn00
11,Drew Hill*,HOU,32,WR,16,16,72,1141,15.8,10,57,,4.5,71.3,0,HillDr00
12,Art Monk,WAS,31,WR,16,13,72,946,13.1,5,46,,4.5,59.1,0,MonkAr00
13,Andre Reed*,BUF,24,WR,15,14,71,968,13.6,6,65,,4.7,64.5,1,ReedAn00
14,Mickey Shuler*,NYJ,32,TE,15,15,70,805,11.5,5,42,,4.7,53.7,1,ShulMi00
15,Roy Green,PHO,31,WR,16,16,68,1097,16.1,7,52,,4.3,68.6,0,GreeRo01
16,Vance Johnson,DEN,25,WR,16,13,68,896,13.2,5,86,,4.3,56,0,JohnVa00
17,John Settle*,ATL,23,FB,16,13,68,570,8.4,1,27,,4.3,35.6,3,SettJo00
18,Lonzell Hill,NOR,23,WR,16,15,66,703,10.7,7,35,,4.1,43.9,3,HillLo00
19,Lionel Manuel,NYG,26,WR,16,16,65,1029,15.8,4,46,,4.1,64.3,1,ManuLi00
20,Jerry Rice*+,SFO,26,WR,16,16,64,1306,20.4,9,96,,4,81.6,2,RiceJe00
21,Stephone Paige,KAN,27,WR,16,16,61,902,14.8,7,49,,3.8,56.4,2,PaigSt00
22,Ernest Givins,HOU,24,WR,16,16,60,976,16.3,5,46,,3.8,61,1,GiviEr00
23,Earnest Byner,CLE,26,RB,16,16,59,576,9.8,2,39,,3.7,36,5,ByneEa00
24,Gary Clark,WAS,26,WR,16,13,59,892,15.1,7,60,,3.7,55.8,2,ClarGa00
